name,url,type,address,label,feature,price,comment1,comment2,comment3,comment_count,lng,lat
魏家凉皮(八里庄店) 分店,/shop/5283959,小吃快餐,朝阳区八里庄东里1号莱锦TOWN底商 57892519,小吃快餐 十里堡,秘制凉皮 肉夹馍 米皮,16,8.3,8.1,8,335,116.50281,39.921482
眉州东坡小吃(中关村店) 分店,/shop/2739061,小吃快餐,海淀区中关村大街27号中关村大厦B2楼 82856918,其他小吃 中关村,担担面 麻辣烫 酸辣粉,33,8.6,8,8,335,116.32294,39.98356
乐食派麻辣香锅(金源店) 分店,/shop/3713938,川菜,海淀区远大路1号金源新燕莎购物中心5楼 88866317,香锅 远大路,青笋 金针菇 午餐肉,61,7.8,7.8,7.1,335,116.29596,39.964603
呷哺呷哺(天通苑店) 分店,/shop/2237191,火锅,昌平区天通苑家乐福北苑店3楼 ,其他火锅 天通苑,麻酱 金针菇 羊肉,42,8,7.1,7.5,335,116.426865,40.03919
雅唐河鲜酒楼,/shop/2492500,北京菜 川菜 火锅,朝阳区白家庄东里23号雅唐3楼 65019666,川菜 官府菜 朝阳公园/团结湖,肉酱茄子 钵钵什锦海鲜串 孜香澳带翅中小土豆,74,7,8,7.6,334,116.47094,39.934174
静莲斋(和平里店) 分店,/shop/2877286,素菜,朝阳区和平西街化工大院社区内 64206839,素菜 安贞 和平里,南瓜羹 二指禅 春江水暖,55,8.7,8.2,8.8,334,116.42432,39.967445
大渔铁板烧(蓝色港湾店) 分店,/shop/5401435,日本,朝阳区朝阳公园路6号蓝色港湾国际商区 59056235,日式烧烤/铁板烧 日式自助 亮马桥/三元桥,北极贝 菲力牛排 铁板鳕鱼,221,9,9,8.5,334,116.484406,39.955837
102度健康火锅(苏州桥店) 分店,/shop/5648462,火锅,海淀区北三环西路甲60号 68730518,其他火锅 苏州桥,木瓜猪蹄锅 虾滑 泰式酸辣鲜虾锅,56,8.9,8.5,8.9,334,116.32113,39.97012
友仁居旺都肥牛火锅(元大都店) 分店,/shop/2688790,火锅,朝阳区元大都酒吧东街西 18201209040,其他火锅 对外经贸,肥牛 菌菇拼盘 什锦大拼,62,7.6,8.3,8.2,333,116.4331,39.982983
羲和雅苑烤鸭坊(酒仙桥店) 分店,/shop/5208730,北京菜,朝阳区酒仙桥路18号颐堤港1楼50号 84260168,烤鸭 婚宴酒店 酒仙桥,烤鸭 狮子头 羲和烤鸭,123,9,9.2,9.1,333,116.49741,39.975636
太熟悉家常菜(清河店) 分店,/shop/559742,北京菜,海淀区西二炮商业大楼西侧 62913181,家常菜 婚宴酒店 上地,宫保鸡丁 烤鸭 水煮鱼,54,8,7.8,7.8,333,0,0
柳泉居豆沙包(平安里店) 分店,/shop/585694,小吃快餐,西城区西四北大街79号六条东口 66163137,老北京小吃 西四,豆包 豆沙包 寿桃,13,8.1,6.4,6.5,333,116.37957,39.93584
味妙烤鱼吧(健翔桥店),/shop/2658403,川菜,海淀区花园北路甲12号 62361541,烤鱼 北太平庄,烤鱼 牛蛙 香辣鸡翅,61,8,7.6,7.8,332,116.38579,39.98815
顺天旺大连海鲜饺子(车公庄总店) 分店,/shop/511604,小吃快餐 东北菜,海淀区车公庄西路29号 68476322,东北菜 饺子 航天桥,皮皮虾饺子 海螺饺子 鲅鱼饺子,55,7.9,6.5,6.6,332,116.32172,39.93845
南门涮肉(朝阳路店) 分店,/shop/3664624,火锅,朝阳区朝阳路高碑店乡兴隆庄甲8号 85760188,涮羊肉 十里堡,烧饼 鲜羊肉 小料,77,8.9,8.1,8.2,332,116.53742,39.922737
湖北大厦中餐厅,/shop/509483,湖北菜,海淀区中关村南大街36号湖北大厦3楼 62172288-8200,湖北菜 婚宴酒店 魏公村,莲藕排骨汤 热干面 武昌鱼,101,7.7,7.9,7.5,332,116.33154,39.95344
宏状元粥店(崇文门店) 分店,/shop/3514384,小吃快餐,东城区东打磨厂3号 67080776,粥店 崇文门,皮蛋瘦肉粥 扁豆焖面 状元肉饼,29,8.2,8.1,8.3,332,116.42175,39.905663
八先生涮肉坊(亚运村店) 分店,/shop/508665,火锅,朝阳区慧忠北路慧忠里304号楼 64927397,涮羊肉 亚运村,涮羊肉 烧饼 羊肉,89,7.9,7.1,7.3,332,116.40752,40.003647
食肉兽烧肉小馆(南锣鼓巷店) 分店,/shop/5687824,小吃快餐,西城区南锣鼓巷黑芝麻胡同16号 15810331974,烧烤 什刹海,黑椒牛肉 孜然羊肉 传统牛肉,80,8.5,8.2,8.8,331,116.407234,39.944714
全聚德烤鸭店(望京店) 分店,/shop/3877462,北京菜,朝阳区广顺北大街33号福码大厦B座2楼 64736466,烤鸭 婚宴酒店 望京,烤鸭 火燎鸭心 盐水鸭肝,146,8.1,8.2,8.3,331,116.47433,40.00072
鸿毛饺子(上地七街店) 分店,/shop/582610,小吃快餐,海淀区上地信息路1号 82894666,饺子 上地,饺子 三鲜饺子 素三鲜,39,7.2,7.1,6.8,331,116.312614,40.052597
郭林家常菜(新街口店) 分店,/shop/514394,北京菜,西城区新街口南大街44号新街口饭店2楼 83289672,家常菜 婚宴酒店 新街口,宫保鸡丁 烤鸭 蟹黄豆腐,53,6.7,6.2,6,331,116.379616,39.944824
姑姑宴(新中关店) 分店,/shop/8023131,小吃快餐 川菜,海淀区中关村大街19号新中关购物中心 82483727,川菜 其他小吃 中关村,串串香 冒菜 钟水饺,47,6.9,7.1,6.1,331,116.3212,39.98426
高祥府清真火锅,/shop/3200341,小吃快餐,朝阳区安苑北里23号南楼 64977558,烧烤 清真菜 亚运村,菌类拼盘 虾滑 鲜羊肉,84,7.5,7.7,7.6,330,116.41603,39.989693
大鸭梨烤鸭店(八里庄店) 分店,/shop/510313,北京菜,海淀区恩济庄18号 88128479,烤鸭 婚宴酒店 航天桥,烤鸭 水煮鱼 一品鲈鱼,58,7.9,7.9,7.8,330,116.29331,39.93363
奶酪魏(增光路店) 分店,/shop/2546188,小吃快餐,海淀区增光路55号 68417679,老北京小吃 航天桥,宫廷奶酪 奶酪 杏仁豆腐,15,8.1,7.1,7.3,329,116.3194,39.93417
兰州宾馆餐厅,/shop/584333,西北菜,西城区西直门北大街58号金晖嘉园5号楼 82291133-108,西北菜 西直门/动物园,酿皮 手抓羊肉 灰豆子,52,8.3,6.9,6.8,329,116.365654,39.952496
闻记羊蝎子火锅北京簋街店,/shop/5541019,川菜 火锅,东城区东直门内大街288-5号 56225328,羊蝎子 川菜 东直门,羊蝎子火锅 羊蝎子 麻辣小龙虾,69,8.4,8.3,8.5,328,116.42357,39.946926
